scan_date,geo,chart,category,rank,app_id,title,seller_name,price,avg_rating,rating_count,version_release_date,first_seen_date,mechanic_tags,is_watchlist_publisher,notes
2026-07-01,us,free,games,1,6761760135,Meowdoku!,OAKEVER GAMES PTE. LTD.,0.0,4.814,46964,2026-06-29,2026-07-01,stack|idle|draw|dig,false,open-window
2026-07-01,us,free,puzzle,1,6761760135,Meowdoku!,OAKEVER GAMES PTE. LTD.,0.0,4.814,46964,2026-06-29,2026-07-01,stack|idle|draw|dig,false,open-window
2026-07-01,us,free,arcade,1,6761760135,Meowdoku!,OAKEVER GAMES PTE. LTD.,0.0,4.814,46964,2026-06-29,2026-07-01,stack|idle|draw|dig,false,open-window
2026-07-01,us,free,games,2,6752672568,Block Out! - Color Sort Puzzle,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.73582,101362,2026-06-29,2026-07-01,sort|idle|draw,true,watchlist-new
2026-07-01,us,grossing,games,22,6752672568,Block Out! - Color Sort Puzzle,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.73582,101362,2026-06-29,2026-07-01,sort|idle|draw,true,watchlist-new
2026-07-01,us,free,puzzle,2,6752672568,Block Out! - Color Sort Puzzle,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.73582,101362,2026-06-29,2026-07-01,sort|idle|draw,true,watchlist-new
2026-07-01,us,grossing,puzzle,11,6752672568,Block Out! - Color Sort Puzzle,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.73582,101362,2026-06-29,2026-07-01,sort|idle|draw,true,watchlist-new
2026-07-01,us,free,arcade,2,6752672568,Block Out! - Color Sort Puzzle,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.73582,101362,2026-06-29,2026-07-01,sort|idle|draw,true,watchlist-new
2026-07-01,us,grossing,arcade,12,6752672568,Block Out! - Color Sort Puzzle,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.73582,101362,2026-06-29,2026-07-01,sort|idle|draw,true,watchlist-new
2026-07-01,us,free,games,3,6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,0.0,4.73836,55335,2026-06-23,2026-07-01,physics|draw|crowd|dig,false,
2026-07-01,us,grossing,games,98,6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,0.0,4.73836,55335,2026-06-23,2026-07-01,physics|draw|crowd|dig,false,
2026-07-01,us,free,games,4,6499209744,Magic Sort!,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.72908,516552,2026-06-30,2026-07-01,sort|unblock|idle|draw,true,watchlist-new
2026-07-01,us,grossing,games,30,6499209744,Magic Sort!,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.72908,516552,2026-06-30,2026-07-01,sort|unblock|idle|draw,true,watchlist-new
2026-07-01,us,free,puzzle,3,6499209744,Magic Sort!,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.72908,516552,2026-06-30,2026-07-01,sort|unblock|idle|draw,true,watchlist-new
2026-07-01,us,grossing,puzzle,15,6499209744,Magic Sort!,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.72908,516552,2026-06-30,2026-07-01,sort|unblock|idle|draw,true,watchlist-new
2026-07-01,us,free,arcade,3,6499209744,Magic Sort!,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.72908,516552,2026-06-30,2026-07-01,sort|unblock|idle|draw,true,watchlist-new
2026-07-01,us,grossing,arcade,14,6499209744,Magic Sort!,GRAND GAMES OYUN VE YAZILIM ANONIM SIRKETI,0.0,4.72908,516552,2026-06-30,2026-07-01,sort|unblock|idle|draw,true,watchlist-new
2026-07-01,us,free,games,5,6468921495,Vita Mahjong,VITA STUDIO PTE. LTD.,0.0,4.90228,1540801,2026-06-29,2026-07-01,idle|draw,false,open-window
2026-07-01,us,free,games,6,431946152,Roblox,Roblox Corporation,0.0,4.518,19226942,2026-06-29,2026-07-01,idle|physics|draw|crowd|dig,false,open-window
2026-07-01,us,free,games,7,1550945606,Soccer Superstar,SIMFACE LIMITED,0.0,4.70831,285973,2026-06-10,2026-07-01,idle|physics|draw|crowd,false,open-window
2026-07-01,us,free,games,8,6780195090,82-0.com,Vaulty Studios Inc.,0.0,3.48718,39,2026-06-25,2026-07-01,physics|draw,false,open-window
2026-07-01,us,free,games,9,6748397500,Arrows – Puzzle Escape,Lessmore GmbH,0.0,4.86069,279253,2026-06-29,2026-07-01,unblock|dig,false,open-window
2026-07-01,us,free,puzzle,4,6748397500,Arrows – Puzzle Escape,Lessmore GmbH,0.0,4.86069,279253,2026-06-29,2026-07-01,unblock|dig,false,open-window
2026-07-01,us,free,arcade,4,6748397500,Arrows – Puzzle Escape,Lessmore GmbH,0.0,4.86069,279253,2026-06-29,2026-07-01,unblock|dig,false,open-window
2026-07-01,us,free,games,10,6759763476,Bus Traffic Fever!,"GOODROID,Inc.",0.0,4.76918,28715,2026-06-03,2026-07-01,sort|unblock|merge|draw,false,
2026-07-01,us,free,puzzle,5,6759763476,Bus Traffic Fever!,"GOODROID,Inc.",0.0,4.76918,28715,2026-06-03,2026-07-01,sort|unblock|merge|draw,false,
2026-07-01,us,grossing,puzzle,83,6759763476,Bus Traffic Fever!,"GOODROID,Inc.",0.0,4.76918,28715,2026-06-03,2026-07-01,sort|unblock|merge|draw,false,
2026-07-01,us,free,arcade,5,6759763476,Bus Traffic Fever!,"GOODROID,Inc.",0.0,4.76918,28715,2026-06-03,2026-07-01,sort|unblock|merge|draw,false,
2026-07-01,us,grossing,arcade,82,6759763476,Bus Traffic Fever!,"GOODROID,Inc.",0.0,4.76918,28715,2026-06-03,2026-07-01,sort|unblock|merge|draw,false,
2026-07-01,us,free,games,11,1617391485,Block Blast！,ARETIS LIMITED,0.0,4.87608,2562620,2026-06-29,2026-07-01,stack|idle|draw|crowd,false,open-window
