report_date,report_rank,app_id,geo,title,seller_name,mechanic_tags,days_since_launch,rating_count,rating_count_delta_1d,rating_count_delta_7d,best_rank,rank_delta_7d,open_window,emerging,is_watchlist_publisher,lane,score
2026-07-01,1,6761760135,us,Meowdoku!,OAKEVER GAMES PTE. LTD.,stack|idle|draw|dig,43,46964.0,,,1.0,,True,True,False,A,2227.0
2026-07-01,2,6766739255,us,Rebel Glam: Dress Up Games,"Arcloom., Ltd.",stack|crowd,49,5484.0,,,8.0,,True,True,False,A,2151.0
2026-07-01,3,6754839783,us,Bubble Word Jam,Lion Studios Plus LLC,sort|unblock|merge|idle|draw|dig,147,38439.0,,,8.0,,False,True,True,B,2103.0
2026-07-01,4,6761469046,us,Rap Star:Idle Clicker,聪 马,stack|idle|physics|draw,89,18431.0,,,10.0,,True,True,False,A,2091.0
2026-07-01,5,6759081967,us,Jewel Coloring,Ta Ta Game Technology Limited,sort|merge|idle|draw|dig,133,24079.0,,,8.0,,True,True,False,A,2067.0
2026-07-01,6,6759763476,us,Bus Traffic Fever!,"GOODROID,Inc.",sort|unblock|merge|draw,110,28715.0,,,5.0,,False,True,False,-,2020.0
2026-07-01,7,6755455500,id,Hollywood Merge,VoyagerOne Distribution Limited,merge|dig,124,1525.0,,,9.0,,False,True,False,-,1966.0
2026-07-01,8,6759000921,us,Idle Dot Shooter!,"INFINITY GAMES, LDA",stack|idle|draw|crowd|dig,139,9742.0,,,18.0,,True,True,False,A,1961.0
2026-07-01,9,6741503079,us,Pokémon Champions,The Pokemon Company,,14,16519.0,,,32.0,,True,True,False,A,1946.0
2026-07-01,10,6746151928,id,Heartopia,"XD Entertainment Co., Ltd.",stack|draw,175,4494.0,,,7.0,,False,True,False,-,1935.0
2026-07-01,11,6756989323,us,Last Asylum: Plague,WISENESS GAME ONLINE INTERNATIONAL LTD,physics|draw|crowd,140,26160.0,,,11.0,,False,True,False,-,1930.0
2026-07-01,12,6757844491,id,Tricky Story 2: Brain Twist,Tang Thi Thuy,idle,160,1023.0,,,9.0,,False,True,False,-,1930.0
2026-07-01,13,6762342518,us,Fluffy Drop,UniRise Digital Limited,idle|physics|draw|crowd,71,12053.0,,,31.0,,True,True,False,A,1899.0
2026-07-01,14,6758149135,us,Money Sort: Merge Puzzle,Loop Games Oyun Teknolojileri Anonim Sirketi,sort|merge|stack|draw|dig,105,2507.0,,,28.0,,True,True,False,A,1895.0
2026-07-01,15,6759077038,us,Profile Perfect,Lion Studios Plus LLC,sort|merge|idle|draw|dig,107,7015.0,,,34.0,,False,True,True,B,1883.0
2026-07-01,16,6758326278,id,Amaze GO!,OAKEVER GAMES PTE. LTD.,sort|unblock|idle|physics|draw|crowd|dig,138,2920.0,,,29.0,,True,True,False,A,1852.0
2026-07-01,17,6757844491,us,Tricky Story 2: Brain Twist,Tang Thi Thuy,idle,160,14697.0,,,30.0,,True,True,False,A,1820.0
2026-07-01,18,6741567125,us,Clash of Critters,FARLIGHT PTE. LTD.,merge|physics,42,31493.0,,,32.0,,False,True,False,-,1818.0
2026-07-01,19,1642607669,us,Game of Thrones: Dragonfire,Warner Bros. Entertainment,merge|stack|idle|physics|draw|crowd|dig,29,5705.0,,,36.0,,False,True,False,-,1791.0
2026-07-01,20,6758138698,us,Car Sort: Color Puzzle,Rollic Games Oyun Yazilim ve Pazarlama Anonim Sirketi,sort|unblock|stack|idle|draw,156,5672.0,,,41.0,,False,True,True,B,1764.0
